iter	Passed	Remaining
0	50	25420
1	53	13332
2	55	9263
3	58	7245
4	60	6022
5	63	5195
6	65	4601
7	67	4179
8	70	3834
9	72	3554
10	74	3328
11	77	3141
12	79	2984
13	82	2848
14	84	2730
15	86	2623
16	89	2536
17	91	2454
18	93	2377
19	96	2304
20	98	2242
21	100	2191
22	103	2142
23	105	2096
24	107	2050
25	110	2010
26	112	1969
27	114	1932
28	116	1899
29	119	1866
30	121	1836
31	123	1808
32	125	1782
33	128	1756
34	130	1731
35	132	1710
36	134	1689
37	137	1669
38	139	1649
39	141	1631
40	144	1612
41	146	1595
42	148	1581
43	151	1565
44	153	1549
45	155	1536
46	157	1521
47	160	1508
48	162	1494
49	164	1482
50	167	1471
51	169	1459
52	171	1448
53	174	1440
54	176	1429
55	178	1418
56	181	1410
57	184	1403
58	186	1393
59	188	1383
60	190	1373
61	193	1364
62	195	1355
63	197	1348
64	200	1342
65	202	1334
66	205	1326
67	208	1321
68	210	1314
69	212	1307
70	215	1301
71	218	1296
72	220	1291
73	223	1285
74	225	1278
75	228	1275
76	231	1269
77	233	1263
78	235	1256
79	237	1249
80	240	1242
81	242	1235
82	245	1232
83	247	1226
84	250	1222
85	252	1217
86	255	1213
87	258	1208
88	260	1203
89	263	1198
90	265	1192
91	267	1188
92	270	1183
93	273	1181
94	276	1177
95	278	1173
96	281	1168
97	283	1163
98	286	1159
99	288	1155
100	291	1152
101	294	1147
102	296	1141
103	298	1136
104	300	1130
105	303	1126
106	305	1121
107	307	1115
108	309	1110
109	312	1106
110	314	1101
111	316	1096
112	318	1090
113	320	1085
114	322	1080
115	324	1075
116	327	1071
117	329	1066
118	331	1061
119	333	1056
120	336	1052
121	338	1047
122	340	1043
123	342	1038
124	344	1034
125	346	1029
126	349	1025
127	351	1020
128	353	1017
129	355	1013
130	358	1008
131	360	1005
132	362	1000
133	364	996
134	366	991
135	369	987
136	371	983
137	373	979
138	375	975
139	377	971
140	380	968
141	382	964
142	384	960
143	386	956
144	389	952
145	391	949
146	393	945
147	396	941
148	398	938
149	400	934
150	402	931
151	405	927
152	407	924
153	410	921
154	412	917
155	414	914
156	416	910
157	419	906
158	421	903
159	423	900
160	426	897
161	428	893
162	430	889
163	432	886
164	434	883
165	437	879
166	439	876
167	442	873
168	444	870
169	447	868
170	449	865
171	452	862
172	454	859
173	457	856
174	459	853
175	461	850
176	464	847
177	466	843
178	468	840
179	471	837
180	473	834
181	475	831
182	478	828
183	480	824
184	482	821
185	485	818
186	487	815
187	489	812
188	491	809
189	493	805
190	496	802
191	498	799
192	501	796
193	503	793
194	505	790
195	508	788
196	510	785
197	513	782
198	515	779
199	517	776
200	520	773
201	522	770
202	524	767
203	527	765
204	529	762
205	531	759
206	534	756
207	536	753
208	538	750
209	541	747
210	543	744
211	546	741
212	548	738
213	550	735
214	553	733
215	555	730
216	557	727
217	560	724
218	562	721
219	564	718
220	566	715
221	569	712
222	571	710
223	574	707
224	576	704
225	578	701
226	581	698
227	583	696
228	586	693
229	588	691
230	591	689
231	594	686
232	596	683
233	599	681
234	601	678
235	604	675
236	606	672
237	608	670
238	611	667
239	613	664
240	615	661
241	618	659
242	620	656
243	623	653
244	625	651
245	628	648
246	630	645
247	632	643
248	635	640
249	637	637
250	640	635
251	642	632
252	644	629
253	647	626
254	649	624
255	651	621
256	654	618
257	656	615
258	659	613
259	661	610
260	664	608
261	667	606
262	670	603
263	672	601
264	675	598
265	677	596
266	680	593
267	683	591
268	685	588
269	688	586
270	690	583
271	692	580
272	695	578
273	697	575
274	700	572
275	702	570
276	705	567
277	707	564
278	709	562
279	712	559
280	715	557
281	718	555
282	721	553
283	723	550
284	726	547
285	729	545
286	731	542
287	733	540
288	736	537
289	738	534
290	740	532
291	743	529
292	745	526
293	748	524
294	750	521
295	753	519
296	755	516
297	758	514
298	760	511
299	763	508
300	765	506
301	768	503
302	771	501
303	773	498
304	776	496
305	778	493
306	781	491
307	784	488
308	787	486
309	789	483
310	792	481
311	794	478
312	798	476
313	800	474
314	803	471
315	805	469
316	808	466
317	810	464
318	814	461
319	816	459
320	818	456
321	821	454
322	825	452
323	828	450
324	831	447
325	833	445
326	836	442
327	839	440
328	842	437
329	846	435
330	848	433
331	851	430
332	854	428
333	857	426
334	860	423
335	862	421
336	865	418
337	867	415
338	870	413
339	873	410
340	875	408
341	877	405
342	880	402
343	882	400
344	884	397
345	887	394
346	889	392
347	891	389
348	894	386
349	896	384
350	898	381
351	900	378
352	903	376
353	905	373
354	907	370
355	910	368
356	912	365
357	914	362
358	916	360
359	919	357
360	921	354
361	924	352
362	926	349
363	928	346
364	931	344
365	933	341
366	935	338
367	937	336
